"ANO";"NIVEL";"CODMUNRES";"TO";"TORC";"TORCR";"TO_NN";"TO_N";"TO_CB_I";"TO_CB_N";"TO_CB_C";"TO_CB_R";"TO_CB_O";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_P";"TO_NT_T";"TO_PNT";"TONT_B";"TONT_PT";"TONT_A";"TONT_PD";"TONT_I";"TO_MT";"TO_MT_DG";"TO_MT_PT";"TO_MT_AB";"TO_MT_42";"TO_MT_43";"TO_MT_P";"TO_MT_P_I";"TO_MT_P_ES";"TO_MT_P_EFI";"TO_MT_P_EFII";"TO_MT_P_EM";"TO_MT_P_ESI";"TO_MT_P_ESC"
2016;"UF";"350750";1044;43;NA;92;952;41;222;298;158;233;543;501;40;0;16;13;3;5;16;0;0;0;0;3;2;0;0;1;0;3;3;0;0;1;2;0;0
2016;"UF";"350760";1269;134;NA;99;1170;21;238;390;241;280;700;569;54;0;12;8;4;5;11;1;0;0;0;6;1;1;0;1;3;3;3;0;0;2;1;0;0
2016;"UF";"350770";29;0;NA;4;25;2;3;9;1;10;16;13;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350775";22;0;NA;0;22;0;3;7;4;8;12;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350780";165;6;NA;15;150;5;28;51;27;39;85;80;7;0;2;0;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350790";164;11;NA;14;150;2;33;50;18;47;77;87;6;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350800";134;11;NA;9;125;3;16;50;23;33;81;53;6;0;2;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350810";165;5;NA;11;154;5;38;42;29;40;98;67;6;0;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350820";32;0;NA;3;29;0;9;11;6;3;18;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350830";20;0;NA;3;17;0;5;4;5;3;14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350840";233;13;NA;20;213;4;40;81;32;56;146;87;10;0;7;7;0;2;5;1;0;1;0;2;2;0;0;0;0;2;2;1;0;0;1;0;0
2016;"UF";"350850";601;16;NA;40;561;38;91;117;74;241;333;268;22;0;8;5;3;2;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350860";230;4;NA;8;222;8;40;52;33;89;137;93;10;0;5;4;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350870";128;7;NA;5;123;10;25;36;15;37;80;48;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0
2016;"UF";"350880";126;6;NA;10;116;8;20;26;22;40;72;54;5;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350890";41;1;NA;3;38;2;4;12;7;13;23;18;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350900";506;25;NA;29;477;26;107;174;69;101;276;230;27;0;9;8;1;2;5;0;0;4;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"UF";"350910";34;0;NA;1;33;0;2;11;6;14;19;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350920";382;24;NA;36;346;7;69;118;64;88;223;159;28;0;8;7;1;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350925";188;16;NA;17;171;13;32;59;23;44;116;72;14;0;4;1;3;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350930";91;4;NA;5;86;1;14;33;16;22;48;43;3;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0
2016;"UF";"350940";178;5;NA;10;168;7;30;42;18;71;99;79;7;0;4;3;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350945";37;6;NA;2;35;2;5;8;3;17;18;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350950";7058;263;NA;583;6475;277;1414;2078;1084;1622;3811;3245;272;0;76;51;25;54;55;5;0;15;0;10;1;0;0;5;4;6;6;0;0;4;1;0;0
2016;"UF";"350960";529;18;NA;46;483;14;106;190;76;97;319;210;16;0;8;5;3;3;7;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0
2016;"UF";"350970";378;27;NA;26;352;11;58;117;50;116;218;160;20;0;5;5;0;4;4;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
2016;"UF";"350980";52;4;NA;4;48;0;6;13;14;15;25;27;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"350990";94;10;NA;7;87;1;21;24;14;27;51;43;6;0;3;2;1;1;3;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
2016;"UF";"350995";38;1;NA;0;38;0;7;10;8;13;24;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351000";249;17;NA;13;236;13;34;48;45;96;133;116;9;0;3;2;1;5;3;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"UF";"351010";25;1;NA;2;23;1;2;12;4;4;13;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351015";32;0;NA;2;30;0;10;7;2;11;21;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351020";352;33;NA;22;330;8;44;123;51;104;198;154;15;0;8;5;3;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351030";108;4;NA;12;96;1;17;18;16;44;65;43;4;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351040";335;25;NA;27;308;28;65;72;51;92;175;160;16;0;4;2;2;2;1;0;0;3;0;1;1;0;0;0;0;1;1;0;0;0;1;0;0
2016;"UF";"351050";785;40;NA;77;708;43;137;159;99;270;487;298;36;0;11;7;4;8;6;0;3;1;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0
2016;"UF";"351060";1926;99;NA;170;1756;90;348;704;223;391;1064;861;118;0;45;33;12;27;16;0;0;22;0;7;2;0;0;4;1;6;6;0;1;2;1;0;1
2016;"UF";"351070";100;5;NA;9;91;6;21;19;13;32;57;43;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351080";250;9;NA;16;234;10;39;72;48;65;140;110;12;0;4;3;1;0;3;0;0;1;0;2;0;0;0;1;1;1;1;0;1;0;0;0;0
2016;"UF";"351090";16;0;NA;2;14;1;2;4;2;5;7;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351100";156;6;NA;5;151;5;30;40;34;42;90;66;6;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351110";914;28;NA;72;842;34;170;206;98;334;470;444;32;0;6;3;3;3;6;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2016;"UF";"351120";60;2;NA;5;55;4;7;21;9;14;36;24;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351130";78;1;NA;8;70;3;16;23;11;17;48;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351140";153;5;NA;7;146;6;14;17;26;83;85;68;3;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351150";254;27;NA;19;235;3;52;61;30;89;137;117;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351160";106;2;NA;10;96;1;11;38;9;37;60;46;5;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351170";108;5;NA;11;97;3;23;27;8;36;63;45;4;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0
2016;"UF";"351190";54;6;NA;7;47;1;10;19;7;10;31;23;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351200";141;19;NA;9;132;4;13;45;22;48;73;68;15;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351210";48;6;NA;4;44;2;7;10;8;17;32;16;1;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351220";181;10;NA;9;172;5;40;46;23;58;107;74;8;0;2;2;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351230";132;6;NA;11;121;2;19;41;15;44;72;60;6;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351240";153;10;NA;12;141;7;33;40;22;39;93;60;7;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351250";49;3;NA;3;46;3;9;11;5;18;34;15;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;"UF";"351260";39;3;NA;0;39;2;4;9;5;19;22;17;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
